country,total_cases,total_deaths,total_recovered,active_cases,cases_per_1M,deaths_per_1M,total_tests,tests_per_1M,life_expectancy,population,density,med_age,temp_c,health_efficiency _index,arrivals_number
Paraguay,96,3,12,81,13,0.4,1289,181,74.59,7132538,18,26,23.55,0.761,1584000
Bangladesh,70,8,30,32,0.4,0.05,2086,13,73.57,164689383,1265,28,25,0.675,125000
Madagascar,70,0,0,70,3,0,0,0,68.21,27691018,48,20,22.65,0.397,255000
Guatemala,61,2,15,44,3,0.1,1134,63,75.05,17915568,167,23,23.45,0.713,2113000
El Salvador,56,3,2,51,9,0.5,0,0,74.06,6486205,313,28,24.45,0.608,1556000
Jamaica,53,3,7,43,18,1,540,182,74.88,2961167,273,31,24.95,0.782,2353000
Barbados,52,0,0,52,181,0,382,1329,79.64,287375,668,40,26,0.808,664000
Djibouti,50,0,8,42,51,0,0,0,67.87,988000,43,27,28,0.414,63000
Uganda,48,0,0,48,1,0,2629,57,64.38,45741007,229,17,22.8,0.464,1402000
Mali,41,3,1,37,2,0.1,0,0,60.54,20250833,17,16,28.25,0.361,193300
Togo,41,3,17,21,5,0.4,0,0,62.13,8278724,152,19,27.15,0.449,496000
Zambia,39,1,2,36,2,0.05,619,34,64.7,18383955,25,18,21.4,0.269,1083000
Ethiopia,38,0,4,34,0.3,0,1222,11,67.81,114963588,115,19,22.2,0.276,933000
Eritrea,29,0,0,29,8,0,0,0,67.48,3546421,35,19,25.5,0.399,142000
Bahamas,28,4,0,24,71,10,0,0,74.28,393244,39,32,24.85,0.657,1439000
Guyana,23,4,0,19,29,5,83,106,70.26,786552,4,27,26,0.554,247000
Gabon,21,1,1,19,9,0.4,0,0,67.03,2225734,9,23,25.05,0.511,269000
Myanmar,21,1,0,20,0.4,0.02,0,0,67.78,54409800,83,29,13.05,0.138,3443000
Tanzania,20,1,3,16,0.3,0.02,0,0,66.39,59734218,67,18,22.35,0.422,1275000
Haiti,20,0,1,19,2,0,200,18,64.99,11402528,414,24,24.9,0.517,467000
Maldives,19,0,13,6,35,0,0,0,79.89,540544,1802,30,27.65,0.477,1390000
Libya,18,1,0,17,3,0.1,131,19,73.44,6871292,4,29,21.8,0.683,34000
Guinea-Bissau,18,0,0,18,9,0,0,0,59.38,1968001,70,19,26.75,0.314,43800
Syria,16,2,2,12,0.9,0.1,0,0,76.06,17500658,95,26,17.75,0.628,5070000
Benin,16,0,2,14,1,0,0,0,62.84,12123200,108,19,27.55,0.647,281000
Equatorial Guinea,16,0,1,15,11,0,0,0,59.82,1402985,50,22,24.55,0.337,
Antigua and Barbuda,15,0,0,15,153,0,40,408,77.47,97929,223,34,26,0.688,247000
Mongolia,14,0,2,12,4,0,0,0,70.53,3278290,2,28,0.7,0.483,469000
Namibia,14,0,3,11,6,0,301,118,64.86,2540905,3,22,19.95,0.34,1499000
Saint Lucia,14,0,1,13,76,0,0,0,76.67,183627,301,34,25.5,0.74,386000
Fiji,12,0,0,12,13,0,0,0,67.91,896445,49,28,24.4,0.653,843000
Grenada,12,0,0,12,107,0,45,400,72.59,112523,331,32,26.65,0.689,168000
Angola,10,2,2,6,0.3,0.06,0,0,62.22,32866272,26,17,21.55,0.275,261000
Sudan,10,2,2,6,0.2,0.05,0,0,66.09,43849260,25,20,26.9,0.524,813000
Liberia,10,1,3,6,2,0.2,0,0,65,5057681,53,19,25.3,0.2,
Suriname,10,1,0,9,17,2,0,0,72.13,586632,4,29,25.7,0.623,278000
Laos,10,0,0,10,1,0,437,60,68.89,7275560,32,24,22.8,,3257000
Mozambique,10,0,1,9,0.3,0,338,11,62.13,31255435,40,18,23.8,0.26,1447000
Seychelles,10,0,0,10,102,0,0,0,73.74,98347,214,34,27.15,0.773,350000
Zimbabwe,9,1,0,8,0.6,0.07,316,21,62.16,14862924,38,19,21,0.427,2423000
Nepal,9,0,1,8,0.3,0,1521,52,71.74,29136808,203,25,8.1,0.457,940000
Chad,9,0,0,9,0.5,0,0,0,55.17,16425864,13,17,26.55,0.303,87000
Eswatini,9,0,0,9,8,0,0,0,61.05,1160164,67,21,21.4,,921000
Somalia,7,0,1,6,0.4,0,0,0,58.34,15893222,25,17,27.05,0.286,146000
Mauritania,6,1,2,3,1,0.2,67,14,65.57,4649658,5,20,27.65,0.384,30000
Nicaragua,5,1,0,4,0.8,0.2,0,0,75.23,6624554,55,26,24.9,0.733,1787000
Bhutan,5,0,2,3,6,0,0,0,72.77,771608,20,28,7.4,0.575,255000
Botswana,4,1,0,3,2,0.4,175,74,69.86,2351627,4,24,21.5,0.338,1574000
Gambia,4,1,2,1,2,0.4,0,0,63.26,2416668,239,18,27.5,0.482,162000
Belize,4,0,0,4,10,0,25,63,75.09,397628,17,25,25.3,0.736,427000
Malawi,4,0,0,4,0.2,0,0,0,65.62,19129952,203,18,21.9,0.251,837000
Sierra Leone,4,0,0,4,0.5,0,2,0.3,55.92,7976983,111,19,26.05,0,55000
Burundi,3,0,0,3,0.3,0,2,0.2,62.71,11890784,463,17,19.8,0.494,299000
Papua New Guinea,1,0,0,1,0.1,0,72,8,65.22,8947024,20,22,25.25,0.467,179000
Timor-Leste,1,0,0,1,0.8,0,0,0,70.18,1318445,89,21,25.25,,74000
